Designator,Footprint,Comment,LibRef,Layer,Rotation,Center-X(mm),Center-Y(mm)

"F3","FIDUCIAL_OV","FIDUCIAL","FIDUCIAL","Bottom","90","84.2","63.85"
"F2","FIDUCIAL_OV","FIDUCIAL","FIDUCIAL","Top","90","83.375","109.45"
"R30","R_0402","R_1K_0402_5%","R_1K_0402_5%","Top","90","80.3","66.7"
"R29","R_0402","R_4K7_0402_5%","R_4K7_0402_5%","Top","0","80.1","85.6"
"R28","R_0402","R_4K7_0402_5%","R_4K7_0402_5%","Top","0","79.1","85.6"
"J6","CON_JACK_STEREO_3.5MM_SMT","CON_JACK_STEREO_3.5MM_SMD","CON_JACK_STEREO_3.5MM_SMD","Top","270","78.85","72.9"
"R31","R_0603","R_220R_0603_1%","R_220R_0603_1%","Top","270","77.9","63.7"
"R32","R_0603","R_220R_0603_1%","R_220R_0603_1%","Top","270","77.9","65.1"
"A","SW_FSM4JSMA","SW_SPST_6MM","SW_SPST_6MM","Bottom","0","77","74"
"C27","C_0402","1U_6V3","CAP_1u_6V3_0402_10%_X6S","Top","0","76.6","85.625"
"R33","R_0603","R_220R_0603_1%","R_220R_0603_1%","Top","90","75.1","63.7"
"R34","R_0603","R_220R_0603_1%","R_220R_0603_1%","Top","90","75.1","65.1"
"M1","MIC_ABM-715-RC","MIC_ABM-715-RC","MIC_ABM-715-RC","Top","270","73.4","82.66"
"B1","BAT_CR2032_CH7410-2032LF","BAT_CR2032_1","BAT_CR2032_1","Top","0","73.38","98.234"
"R37","R_0402","R_1K_0402_5%","R_1K_0402_5%","Top","90","73.15","85.925"
"D1","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","66","86"
"D12","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","66","76"
"D21","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","66","66"
"D22","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","66","81"
"D8","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","66","71"
"D14","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","61","86"
"D17","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","61","66"
"D23","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","61","81"
"D7","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","61","71"
"D9","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","61","76"
"D28","SOD323","D_BAT43WS-7-F","D_BAT43WS-7-F","Top","90","58","97"
"SW1","SW_FSM4JSMA","SW_SPST_6MM","SW_SPST_6MM","Top","180","57.05","104.825"
"R24","R_0402","R_10M_0402_5%","R_10M_0402_5%","Top","0","56.871","64.389"
"D13","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","56","76"
"D19","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","56","66"
"D2","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","56","86"
"D24","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","56","81"
"D6","LED_0603_RED","LED_0603_RED","LED_0603_RED","Bottom","90","56","71"
"R25","R_0402","R_10M_0402_5%","R_10M_0402_5%","Top","0","55.372","64.389"
